,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,class
ABS,Lyra2REv2,PoW/PoS,13332617.9413708,52500000,-0.3576728989467656,0.8388420722110296,-0.27679083726625753,Absolute Coin,0
VITAE,Quark,PoS,66053877.6256106,100000000,-0.35382595676788847,1.4530979330217664,-0.2458193870338711,Vitae,0
HEX,Scrypt,PoW,1416663.06600024,22105263,-0.17435735545693326,-1.0638588400189282,0.018017637210170884,HexCoin,3
TPC,Scrypt,PoW/PoS,5403802.49590733,1000000000,-0.33305786765604867,1.1123504993200353,-0.45656842767665734,TPCash,0
WEBC,CryptoNight-V7,PoW,15580199.3087496,1750000000,-0.13622903938767764,-2.3074237999485483,0.3987490371793244,Webchain,3
RYO,Cryptonight-GPU,PoW,4890897.0,88188888,-0.17343824168436175,-2.0447670678465792,0.44346197170211826,Ryo,3
URALS,XEVAN,PoW,14746153.0962884,210000000,-0.17626316717565343,-0.7741361188932417,-0.22283718059985835,Urals Coin,3
QWC,CryptoNight Heavy,PoW,99553110528.8022,184470000000,3.117170004358524,-2.31507374986343,0.2965401305321506,Qwertycoin,3
ARE,X11,PoS,19269509.94,55000000,-0.3425536735270135,0.9610600176963233,-0.26839577601253023,ARENON,0
EUNO,X11,PoW/PoS,30771125.9760867,50000000,-0.3841715053811354,1.1940529970550533,-0.4857353032968736,EUNO,0
MMO,Scrypt,PoS,107763867.917675,260000000,-0.2953280823214352,0.8797520230000865,-0.23921050356136336,MMOCoin,0
KETAN,PoS,PoS,9327131.59708692,210000000,-0.35641412578116966,1.5577418659707043,-0.18479394916346245,Ketan,0
PPAI,SHA-256,PoW,2100000000.0,2100000000,-0.10730972641727829,-1.3427540427615787,0.15810681379037808,Project Pai,3
XDNA,Keccak,PoW/PoS,4672513.84432375,366000000,-0.3452338838827925,0.9601161414833624,-0.44786383918508316,XDNA,0
PAXEX,X11,PoS,4504639.0,100000000,-0.3424152151427534,0.9610327844847265,-0.2683965682693328,PAXEX,0
AZART,X11,PoW,5015881.37315389,25000000,-0.21898420865694188,-0.9826074716618745,-0.011177778089974562,Azart,3
